Team,Abbr,Link,ImgSrc
Hanshin Tigers,Hanshin,https://npb.jp/bis/eng/teams/index_t.html,🐯
Hiroshima Carp,Hiroshima,https://npb.jp/bis/eng/teams/index_c.html,🎏
DeNA BayStars,DeNA,https://npb.jp/bis/eng/teams/index_db.html,⭐
Yomiuri Giants,Yomiuri,https://npb.jp/bis/eng/teams/index_g.html,🐰
Yakult Swallows,Yakult,https://npb.jp/bis/eng/teams/index_s.html,🐧
Chunichi Dragons,Chunichi,https://npb.jp/bis/eng/teams/index_d.html,🐉
ORIX Buffaloes,ORIX,https://npb.jp/bis/eng/teams/index_b.html,🦬
Lotte Marines,Lotte,https://npb.jp/bis/eng/teams/index_m.html,⚓
SoftBank Hawks,SoftBank,https://npb.jp/bis/eng/teams/index_h.html,🪶
Rakuten Eagles,Rakuten,https://npb.jp/bis/eng/teams/index_e.html,🦅 
Seibu Lions,Seibu,https://npb.jp/bis/eng/teams/index_l.html,🦁
Nipponham Fighters,Nipponham,https://npb.jp/bis/eng/teams/index_f.html,🦊
Oisix Albirex,Oisix,https://www.niigata-albirex-bc.jp/,🦢
HAYATE Ventures,HAYATE,https://hayateventures.jp/,✌️
